Publisher,Titles
Little  Brown Books for Young Readers,[Sparrow Hawk Red, The Lake of Souls (Cirque du Freak #10), Trials of Death (Cirque Du Freak  #5), Saint George and the Dragon, Return to Ithaca (Tales from the Odyssey  #5), The Gray-Eyed Goddess (Tales from the Odyssey  #4), The Hello  Goodbye Window, Rose in Bloom (Eight Cousins  #2), Tough to Tackle, Catch That Pass!, Son of the Mob (Son of the Mob  #1), The Foretelling, Incantation, At the Edge of the World (Crispin  #2), The Land of the Dead (Tales from the Odyssey  #2), The One-Eyed Giant (Tales from the Odyssey  #1), The Final Battle (Tales from the Odyssey  #6), Story of a Girl, The Big Box, The Meanest Doll in the World (Doll People  #2), John  Paul  George & Ben]
FT Press,[Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives]
Wesleyan University Press,[Notebook of a Return to the Native Land]
Dark Horse,[The Amazing Adventures of the Escapist: Volume 1, Outlander - The Exile of Sharad Hett (Star Wars: Ongoing  Volume 2), H.G. Wells' The War of the Worlds (Graphic Novel), Star Wars: Rebellion  Vol. 1: My Brother  My Enemy, Dark Horse Deluxe Journal: Craig Thompson's Angels and Demons]
Babel,[Mao II, Libra, Affliction]
John Wiley & Sons,[The Warren Buffett Way, Baby Signing For Dummies, Personal Finance for Dummies, Crash Proof: How to Profit from the Coming Economic Collapse, The Iliad, Astronomy: A Self-Teaching Guide, Investing in Real Estate, Information Technology for Management: Transforming Organizations in the Digital Economy]
Liveright,[Selected Poems]
Vertigo,[V for Vendetta, Neil Gaiman's Neverwhere, The Books of Magic, Fables: 1001 Nights of Snowfall, Fables  Vol. 8: Wolves, Fables  Vol. 4: March of the Wooden Soldiers, Fables  Vol. 1: Legends in Exile, Fables  Vol. 7: Arabian Nights (and Days), Fables  Vol. 6: Homelands, Fables  Vol. 3: Storybook Love, Fables  Vol. 5: The Mean Seasons, Jack of Fables  Vol. 1: The (Nearly) Great Escape, Death: The Time of Your Life (Death of the Endless  #2), The Mystery Play, Kid Eternity, Doom Patrol  Vol. 1: Crawling from the Wreckage (Doom Patrol  #1), The Filth, Doom Patrol  Vol. 5: Magic Bus, Doom Patrol  Vol. 4: Musclebound, The Invisibles  Vol. 3: Entropy in the U.K., The Invisibles  Vol. 4: Bloody Hell in America, The Invisibles  Vol. 5: Counting to None, Transmetropolitan  Vol. 2: Lust for Life, Transmetropolitan  Vol. 3: Year of the Bastard, Transmetropolitan  Vol. 5: Lonely City, Transmetropolitan  Vol. 4: The New Scum, Transmetropolitan  Vol. 8: Dirge, Transmetropolitan  Vol. 10: One More Time, Transmetropolitan  Vol. 9: The Cure, Transmetropolitan  Vol. 7: Spider's Thrash, The Absolute Sandman  Volume One, Preludes & Nocturnes (The Sandman  #1), The Doll's House (The Sandman  #2), Season of Mists (The Sandman  #4), A Game of You (The Sandman  #5), World's End (The Sandman  #8), The Wake (The Sandman  #10), Michael Moorcock's Multiverse, Loveless  Vol. 1: A Kin of Homecoming, The Quitter, American Splendor: Another Day, Hellblazer: Setting Sun]
Amadeus,[The John Adams Reader: Eseential Writings on an American Composer]
Harlequin Special Releases,[The Other Woman (Dundee  Idaho  #7), Expectant Father]
Lasser Press,[El Clan Del Oso Cavernario]
Sphere,[The Shrouded Walls, The Secrets of Harry Bright, Spencerville, The Talbot Odyssey]
Hodder Mobius,[The Art of Happiness at Work]
Piatkus,[The Dive from Clausen's Pier]
Motilal Banarsidass,[Autobiography of a Yogi]
Other Press (NY),[Phantom Pain]
Cherry Lane Music Company,[Molly Hatchet - 5 of the Best]
Henry Holt & Company,[Travels in the Scriptorium, Shakespeare's Secret]
Y Lolfa,[Delwau Duon: Peintiadau Nicholas Evans = Symphonies in Black: The Paintings of Nicholas Evans]
MacMillan,[Hour Game (Sean King & Michelle Maxwell  #2), Bury the Chains]
Pantheon Books,[The Full Cupboard of Life (No. 1 Ladies' Detective Agency  #5), The Good Husband of Zebra Drive (No. 1 Ladies' Detective Agency #8), The Acme Novelty Library, Persepolis 2: The Story of a Return (Persepolis  #2), Chicken with Plums, Maus I: A Survivor's Tale: My Father Bleeds History (Maus  #1), Friends  Lovers  Chocolate (Isabel Dalhousie  #2), The Right Attitude to Rain (Isabel Dalhousie  #3), The Architecture of Happiness, Good-Bye  Chunky Rice, Gift from the Sea, Only Revolutions]
Alderac Entertainment Group,[Legend of the Five Rings RPG]
Fleming H Revell Co,[The Screwtape Letters/Book & Study Guide]
Dramatists Play Service  Inc.,[Wonder of the World]
Arrow,[Bringing Down The House, Skipping Christmas, Watermelon (Walsh Family  #1), Women Who Love Too Much, The Witching Hour (Lives of the Mayfair Witches  #1), Shake Hands with the Devil, Like a Charm, Blood Canticle (The Vampire Chronicles #10), Blood And Gold (The Vampire Chronicles  #8), Lady of Quality, False Colours, The Convenient Marriage, Sprig Muslin, The Talisman Ring, The Nonesuch, No Wind of Blame (Inspector Hemingway #1), Hannibal (Hannibal Lecter  #3), Dublin 4, Victoria Line  Central Line, Firefly Summer, The Phantom Menace (Star Wars: Novelizations  #1), Star by Star (Star Wars: The New Jedi Order  #9), Five Patients, Hide-and-Seek with Angels: The Life of J.M. Barrie, The Agony and the Ecstasy, Light a Penny Candle, Circle of Friends, The Feast Of All Saints]
Nick Hern Books,[Cyrano de Bergerac, His Dark Materials, His Dark Materials: New Edition, Abandonment]
Everyman's Library,[We Tell Ourselves Stories in Order to Live: Collected Nonfiction, The Oresteia: Agamemnon  Choephoroe & Eumenides (Everyman's Library  No. 260), A Tale of Two Cities, The Lady in the Lake  The Little Sister  The Long Goodbye  Playback (Everyman's Library), The Name of the Rose (Everyman's Library (Cloth)), The Handmaid's Tale, The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3), The Everyman Anthology of Poetry for Children, The Border Trilogy: All the Pretty Horses  The Crossing  Cities of the Plain, The Divine Comedy, The Second Sex, The House of the Spirits, If on a Winter's Night a Traveler, Beloved, Rabbit Angstrom: The Four Novels, The Bookshop  The Gate of Angels  The Blue Flower, The Plague  The Fall  Exile and the Kingdom  and Selected Essays, Molloy  Malone Dies  The Unnamable (The Trilogy  #1-3), Stiff Upper Lip  Jeeves (Jeeves  #13), Ulysses, Demons, The Odes and Selected Fragments, Carried Away: A Personal Selection of Stories, Collected Shorter Fiction: Volume I, The Best of Wodehouse: An Anthology, Jeeves and The Feudal Spirit (Jeeves  #11), In Search of Lost Time  Vol. 2: Within a Budding Grove  Part 2 & The Guermantes' Way, Dead Souls, The General in His Labyrinth, Les Misérables, Pnin, Ficciones, The Complete Works, Lolita, The Aeneid, The Origin of Species/The Voyage of the Beagle, Doctor Faustus, The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem, The Woman In White]
The New York Review Children's Collection,[An Episode of Sparrows]
TSR Inc.,[Sword and Shield]
Scholastic Nonfiction,[Built To Last: Building America's Amazing Bridges  Dams  Tunnels  and Skyscrapers (Built to Last)]
Learning Matters,[Primary English: Knowledge and Understanding]
St. Martins Press-3PL,[Ultimate Punishment, Death in Kashmir, Jinx High (Diana Tregarde  #3), Children of the Night (Diana Tregarde  #2), Lovelock (Mayflower Trilogy  #1), The Wicked (Vampire Huntress  #8), The Sorrows of Empire: Militarism  Secrecy  and the End of the Republic, Vita, Chemistry and Other Stories]
